id,rel_output,rel_type
trm_4a3fd79d09bbf,trm_4a3fd79d09bbf,isSelf
trm_4a3fd79d09bbf,ctp_C1,inCategory
trm_4a3fd79d09bbf,trm_4fea04a02ce37,isPartOf
trm_4a3fd79d09bcb,trm_4a3fd79d09bcb,isSelf
trm_4a3fd79d09bcb,ctp_C1,inCategory
trm_5029515e29f7f,trm_5029515e29f7f,isSelf
trm_5029515e29f7f,trm_4a3fd79d0b4b5,hasPart
trm_5029515e29f7f,trm_4feb44e5ae25b,hasPart
trm_557b477b4a15f,trm_557b477b4a15f,isSelf
trm_557b477b4a15f,ctp_C5,inCategory
trm_557b477b4a15f,trm_55b6b9d7c9435,isKindOf
trm_4a3fd79d09be2,trm_4a3fd79d09be2,isSelf
trm_4a3fd79d09be2,trm_502ad54c11389,hasPart
trm_4a3fd79d09be2,trm_4a3fd79d0ae3d,isKindOf
trm_4e5505361f160,trm_4e5505361f160,isSelf
trm_4e5505361f160,trm_4a3fd79d0a72e,hasKind
trm_4e5505361f160,trm_4e5506161998c,hasKind
trm_4e5505361f160,trm_4e5badf095692,hasKind
trm_502ab8dd991bf,trm_502ab8dd991bf,isSelf
trm_502ab8dd991bf,trm_4a3fd79d0b9ad,isKindOf
trm_502ab8dd991bf,trm_4a3fd79d0b9dd,isPartOf
trm_502ab8dd991bf,trm_4a3fd79d0b4b5,isPartOf
trm_4a3fd79d09bee,trm_4a3fd79d09bee,isSelf
trm_4a3fd79d09bee,ctp_C2,inCategory
trm_4a3fd79d09bee,trm_4a3fd79d0b5a7,isPartOf
trm_4a3fd79d09bf9,trm_4a3fd79d09bf9,isSelf
trm_4a3fd79d09bf9,ctp_C3,inCategory
trm_4a3fd79d09c05,trm_4a3fd79d09c05,isSelf
trm_4a3fd79d09c05,ctp_C5,inCategory
trm_4a3fd79d09c11,trm_4a3fd79d09c11,isSelf
trm_4a3fd79d09c11,ctp_C3,inCategory
trm_4a3fd79d09c11,trm_4a3fd79d0a746,isKindOf
trm_4a3fd79d09c1c,trm_4a3fd79d09c1c,isSelf
trm_4a3fd79d09c1c,ctp_C1,inCategory
trm_4a3fd79d09c1c,trm_4a3fd79d0a723,hasPart
trm_4a3fd79d09c1c,trm_4a3fd79d09d93,isPartOf
trm_4a3fd79d09c1c,trm_4a3fd79d0b1f7,isPartOf
trm_4a3fd79d09c1c,trm_4a3fd79d0a300,isPartOf
trm_4a3fd79d09c28,trm_4a3fd79d09c28,isSelf
trm_4a3fd79d09c28,ctp_C3,inCategory
trm_4a3fd79d09c28,trm_557b4ab076338,hasKind
